Title,Company,Location,Salary,Link,Summary
Software Developer - Front-End / Back-En...,AITRICS,서울,,https://kr.indeed.com/viewjob?jk=,"purpose programming languages including C++, Java, Javascript, Python. Eager to learn a new programming language and machine..."
[Search] [Vision] Computer Vision Engine...,네이버,서울,,https://kr.indeed.com/viewjob?jk=,"스템 엔지니어링 · 스마트렌즈 , 이미지 / 동영상 검색 , 비주얼 커머스 서비스 고도화에 기여 [자격요건] · Python, C++, Golang, Scala 등의 백엔드 개발 언어를 1 개 이상 자유롭게 활용 가능한 분..."
각 부문 신입 및 경력직,다나와,서울 양천구,,https://kr.indeed.com/viewjob?jk=,"VPN 등)우대 데브옵스개발 경력 데브옵스(devops) 환경 구축 및 품질향상 경력 1~7년 Java, Python에 대한 이해보유자 Spring Boot 또는 Express.js 프레임워크 이해보유자 광고영업 신입/경력..."
"Software Engineer, Data Platform",Sendbird,서울,,https://kr.indeed.com/viewjob?jk=,"services and tools in Python, Java, Scala... several programming languages... Python, Java, or Scala Strong analytic skills..."
Cloud Infrastructure Developer,SAP,서울,,https://kr.indeed.com/viewjob?jk=,Your tasks will include developing a python based scalable job execution platform... development with Python Understanding...
[NAVERxLINE] Global Ad Data Engineer/Dat...,네이버,서울,,https://kr.indeed.com/viewjob?jk=,"광고 퍼포먼스에 대한 Reliablity Engineering [자격요건 ] - Java, Scala, Python 등의 언어를 활용한 소프트웨어 개발 역량 - 리눅스 환경에서의 시스템 개발 및 운영 경험 - 분산 환경에서의..."
디지털 전략 전문가 양성과정 교육/참여자,휴넷,서울 구로구,,https://kr.indeed.com/viewjob?jk=,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>증강현실(AR)|인터넷...
"빅데이터, IoT 활용 무료교육 연수생",한국산업기술협회,서울 금천구,,https://kr.indeed.com/viewjob?jk=,"스마트융합전문가 양성과정 - 스마트공장 현장제어 기본 - Java, Python 기본 프로그래밍 및 실습 - 데이터베이스 기본 - 파이썬 기반 센싱데... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
2020년 하반기 경력사원 (IT(Digital Transformatio...,LG상사,서울 종로구,,https://kr.indeed.com/viewjob?jk=,"개발 경험(JavaScript, jQuery, Angular, Vue 등) 서버 개발 경험(PHP, ASP, Python, Node 등), 데이터베이스 개발 경험(SQL, SQLite, MongoDB 등), Git 활용 협업..."
[클라우드그램] 2020년 하반기 부문별,클라우드그램,서울 강남구,,https://kr.indeed.com/viewjob?jk=,"대 고객 프로젝트 리딩 경험 - Ansible, Chef, Puppet 등 인프라 자동화 도구 경험자 - Python, Ruby, Node.js 등 스크립트 가능자 Solutions Architect (AWS 부문) (경력3..."
